"contents","author","category","star_tweet"
"I can’t wait for this Netflix series. I’ve been a fan of Carmen Sandiego ever since I was playing the computer games in elementary school. https://t.co/12TUHshoDX","@Ryegeleye","nostalgia",
"So I had this dream a week or 2 ago. I had to wear my lucky socks & I couldn’t find them & @BitterOldPunk helped me look for them in a globe hopping Carmen Sandiego-esque adventure. OK. But the weird thing is, they weren’t my real lucky socks.","@mygothlaundry","travel",
"@moshpitson and go travelling like Carmen Sandiego?","@antzpantz","travel",
"in 4th grade we took a field trip to the planetarium and the next day our teacher asked us our favorite part of the trip and i said the carmen sandiego theme song and it was put in the school newsletter and my mom was pissed bc i, a 9 year old, liked a cartoon more than learning","@miakay17","rockapella",
"@Logantj @KFloyd34 @BryanDaines @important_pod Same here. My childhood was a steady diet of Oregon Trail II, Yukon Trail, Jumpstart 3rd Grade, Hardball 5, Carmen Sandiego, and Jazz Jackrabbit, with some Magic School Bus and NFL Math thrown in.","@JN_Floyd","pop culture",
"Thank you Carmen San Diego ... I mean Natalie! lol","@ImmortalTech","pop culture",
"@grouchypotato I loved it last year but i'm very indecisive haha. Well perhaps next time then ;) I saw a carmen sandiego costume I like but","@brightmanite","style",
"#fashion #beauty #trends Rihanna Gives Patent Leather Carmen Sandiego Vibes at the Grammys https://t.co/pHq83W4661","@TheB4DASSGirl","style",
"Umm excuse me. Carmen Sandiego has always been a fashion icon https://t.co/bjpaIGiO1L","@LatinxGeeks","fashion",
"@YAdultescent the only thing I wore that I was not, like, mentally ready for, was a bright red dress that looked like it belonged to carmen sandiego","@YAdultescent","style",
"Sorry if this is not feminist enough for u guys but imho Carmen Sandiego WANTED to be found","@lynnbixenspan","feminism",
"@trev_lw I intended on keeping my Carmen Sandiego cosplay private....","@brockmills1","style",
"@pjeanniejean @amandadeibert That’s really nice. Reminds me of when it was pizza day in school, my teachers would play the Where in the World is Carmen Sandiego album. Best elementary school class EVER. Side note - have you tried Krispy Kreme’s new Hershey Gold flavor? Reading your post made me hungry!","@DJMK4Life","nostalgia",
"I'm also really LIVING for Aja's look and Ben's Carmen Sandiego Hat moment :D","@KnRaiCos","style",
"So far the sexy Carmen San Diego outfit has been my fave #VSFashionShow","@SamiMelaragno","style",
"#FirstTimeISawMe was Carmen Sandiego Not many latino women in the media back then and it was educational as well!! Such good memories 😌 https://t.co/faD9vF1jlw","@ArtofMichi","latina","x"
"Holy fudge @netflix is making a Carmen Sandiego tv show and @HereIsGina is playing Carmen and this is iconic wow I'm shook","@getaclucy","pop culture",
"@dexbonus @LaurakBuzz @akidearest @AkiterraGoombah @Cellspex 1 of the 1st & greatest female Antagonist in Gaming, Carmen Sandiego, Returns! https://t.co/B84BWY83cx","@WarnarI","feminism",
"today I wore a pink blazer to work and a client said I looked like Carmen Sandiego","@emkayanna","style",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show Ever https://t.co/K2hqq5WKWT","@alanaleng66","edutainment",
"@egypturnash Get a red trench coat so you can go full-on Carmen Sandiego","@fluffy","style",
"@LHudsonx @HolyJunkie still elements of truth to it, if my Carmen Sandiego education serves, just whimpered until they got what they wanted","@themirthfulpen","edutainment",
"@BrandieLeigh I Liked Carmen SanDiego, Spy Vs Spy, Crime Net, Forensic Files, Unsolved Mysteries, Americas Most Wanted, And Anything With A Hero...","@BrandieLeigh","inspiration",
"@Braves_Paul I've never played Oregon trail. Not sure why. Carmen San Diego and so you want to be a hero. Brothers influence.","@99braves834","inspiration",
"@HerryNelson34 I loved that ACME RV in Where in the USA is Carmen Sandiego (1996), it can turn into a faster car or a helicopter.","@JeremiahLiles1","pop culture",
"Where in the world is Carmen Sandiego? — I don't use edutainment https://t.co/FCLmZUiI3s","@BriaNamtar","search",
"That one time I dressed up as Carmen Sandiego for Halloween and I found a cartoon app. Gives it a… https://t.co/UNId0GD4RE","@xspelliarrmus","style",
"Debating on trying to convince my boyfriend to go as a couple costume for Halloween. Carmen San Diego and Where's Waldo.","@NowWriteItOut","cultural icon","x"
"@bestdancemom @I_am_europe I learned so much from playing 'Where in the world is Carmen Sandiego' with the kids :-)","@RaniBeaton","edutainment",
"@BTUArmy and also, I now have Carmen Sandiego playing through my head. Thank you","@OrleanSmith","pop culture",
"@mario_jenkins All she needs is her Carmen San Diego hat.","@JpwarmanWarman","style",
"It's easy to put together this fun DIY Carmen Sandiego Costume! #Halloween #costume https://t.co/LJ5818oMeU https://t.co/VXjUl61zkf","@ThriftyJinxy","style",
"Best airport ride with my A1!!! See you in a couple days mommy😍😍😍 #carmensandiego #wanderlust… https://t.co/E3ttPvmVFV","@hadiatu03","travel",
"@tokenblackchick Thank you Carmen Sandiego Final Fantasy 10 and 12 Kingdom Hearts 2 Dragon Age Inquisition Mass Effect 2 #NationalVideoGamesDay","@tokenblackchick","pop culture",
"Ada Wong, Carmen San Diego, Harley Quinn, Pision Ivy, Wonder Woman, BatGirl...Black widow!","@SondGee","feminism",
"@ANDREW___THO “@ANDREW___THO: @ValentinoKhan what's the weirdest thing you've ever seen at an airport/show??” woman dressd like Carmen San Diego @ airport","@ValentinoKhan","fashion",
"Played sooooooo many hours hunting Carmen San Diego in @KittyASheehan’s classroom on this bad boy. https://t.co/rc9hMHK80S","@stopthistrain28","edutainment",
"I don’t mean it in a shady way but I’m surprised so many people thought Carmen San Diego was a good guy. Even as a kid I knew she was supposed to be like a world class thief. Why else were we chasing her across the globe? Unless people thought she was a modern day Robin Hood.","@LSN_Frantz","travel",
"I'm kind of lol at the fact that Sami is talking about globe trotting while dressed like Carmen Sandiego #days","@GitDool","travel",
"@misskatcakes Then your path is clear. You need a Carmen Sandiego red hat and coat and to take lots of travel pics...and then steal art.","@hapabara","travel",
"If the Wide-Brimmed Hat Fits! Gina Rodriguez Will Play Carmen Sandiego in Live-Action Movie https://t.co/wTE03aRw0y https://t.co/dYB9OXTPUd","@HealthBeauty747","pop culture",
