"contents","author","category","star_tweet"
"Real 90s babies were raised on PBS... -Mr Roger's Neighborhood -Sesame Street - Reading Rainbow - Arthur - Eureka's Castle - The Joy of Painting's w/ Bob Ross - Zoboomafoo - Bill Nye the Science Guy - Carmen San Diego - Zoom We A Different Breed Fam","@QueTuck","nostalgia",
"@amy_geek Is there a ""Carmen San Diego"" cosplay contest coming next? 😉","@silent037bob","style",
"@AllGeek2MeRadio I thought was a Carmen San Diego cosplay.","@TheFatMovieGuy","style",
"What You Learn Hunting Carmen Sandiego Without Google's Help: By Jason Iannone Published: December 05th, ... https://t.co/59p9Rzlp54","@CrackMeNaught","edutainment",
"Imma let you finish, but Carmen Sandiego is the greatest female video game character of all time https://t.co/W4jKXb9cmg #game https://t.co/bT2qFwZlbA","@xGetGaming","feminism",
"I learned not to issue of warrant of the woman Carmen Sandiego's disguised as, now she broke three of her criminals out of prison!","@JeremiahLiles1","pop culture",
"I wish I had @kkfox32 job... MUST be nice to sit on a computer all day and travel the world on the side. #carmensandiego","@leslierae13","travel",
"Someone get Jessica Chastain a fedora and trenchcoat and let's make that Carmen Sandiego movie already! https://t.co/N1bOW2nTLS","@IPreferPi314","style",
"It’s HALLOWEEN our YIW Team’s ready to celebrate. We hope you have a fun & safe celebration. HAPPY HALLOWEEN 🎃 👻 🕷 #happyhalloween #halloweencostume #theshiningcarpet #devilishkitty #carmensandiego #divabrideoffrankenstein #blackcat #classicwonderwoman #indy #yiworksindy https://t.co/OgDDVa4NCn","@yourimageworks","style",
"One T. Rex Over Easy Carmen Sandiego Mystery Youthful Sleuths Maya and Ben Travel Back in Time to Replace a Missing https://t.co/NDOZyJGarq","@GoodBooksUSA","pop culture",
"Everything I learned about women I learned from Carmen Sandiego. And zombie movies. And Godzilla. Okay, I don't know anything about women!","@bpmatlock","edutainment",
"@MimiImfurst Are you wearing your Carmen Sandiego outfit again?","@corey081590","style",
"A2: Where in the World is Carmen San Diego. There was SO MUCH to learn about. #LastingLearning https://t.co/YDoVJDDav2","@msyoung114","edutainment",
"This is tuff, even tho my guy traveled harder than Carmen Sandiego https://t.co/EPqO3j4oC9","@eschwad","travel",
"@katieoliver01 @DK_Hamilton @BiancaSloane And Ava's not fooling anyone with that trench coat, hat, and sunglasses. I FOUND CARMEN SANDIEGO!","@DebiVSmith","style",
