"contents","author","category","star_tweet"
"@PushinUpRoses Carmen Sandiego, Treasure Cove! (by The Learning Company), and Encarta Encyclopedia's MindMaze.","@link5261","pop culture",
"Rodriquez is already set to voice Carmen in the Netflix reboot of the popular animated series, due in 2019 along with a line of books from the owner of the property, educational... https://t.co/PbMIfqDGCg","@jasoncaston","pop culture",
"All I need is the hat, and I can be #WriteRight or #AgentCarter or #CarmenSandiego. https://t.co/YoBpdTS9en","@ErinMFeldman","style",
"Carmen Sandiego was a bad in an almost Robin Hoodian way—except I guess she kept stuff? Unclear. I was excited she was Latina. https://t.co/SpvDY7fuXA","@TheMadameMeow","latina","x"
"I have just learned of the 1993 computer game Where in Space is Carmen Sandiego and it is PHENOMENAL","@maddiesabs1","pop culture",
"Where in the world is Carmen San Diego and Oregon Trail top 10 elementary school games","@TyCoonSpeaks","edutainment",
"That's it. Ryan Moreno and I need to cosplay Waldo and Carmen San Diego. XD","@TomoyoChan86","style",
"Due to the extreme amounts of difficultly w/ trying to locate a red trench coat, I unfortunately will not be Carmen Sandiego this year. UGH!","@rchristinet","style",
"Seeing all the cap peeps spring break travels on social, I feel like I’m watching where in the world is Carmen Sandiego and they’re racing around the tropical sphere","@taycollett","travel",
"Wearing my carmen san diego hat in honor of Lauren and because its hot af outside.","@JauregYoHansen","style",
"Timothy Mozgov travels more than Carmen San Diego","@the_real_charbi","travel",
"Haha. . Some call me Carmen San Diego or Dora the Explorer","@Gotblessings","travel",
"The rise and fall of the company behind ‘Reader Rabbit’ and all your favorite educational games https://t.co/sm1jIczX7W via @outline","@CSandusky_TCC","edutainment",
"Drake's Dad Does His Best Carmen Sandiego https://t.co/PFMsXdmHVF Drake's dad must have a thing for adventure, mystery and international i…","@TanMader","travel",
"@bucktickzone I like the Where Is Carmen Sandiego? coat","@PanicInDValley","style",
"Well I was talking to a child about Where in the World is Carmen Sandiego except I called her Carmen Electra and I think I’m just going to sit out the rest of the day. But will keep this in mind for Halloween next year.","@missleylaha","style",
"Super stoked to learn abou the history of educational games tonight! Who loved Math Blaster, Oregon Trail, or Carmen San Diego? What was your favorite ""educational"" game?","@LoadingLaw","edutainment",
"THE CARMEN SANDIEGO OUTFIT ON THE WALL","@snouo","style",
"Did anyone ever find Carmen Sandiego? Is she still on the run? Has she served her time? Is she still serving looks with the red fedora and trench coat? Where is she?","@graceafuller","cultural icon","x"
"how did it literally never occur to me that Carmen Sandiego was latina","@FykesMeister","latina",
"where in the world (u.s.a. / europe) is carmen sandiego? (1988) old #videogame #advertising https://t.co/yGkqBO2vHb #retrogaming #videogames #educational #PCgaming #DOSgaming #learning #geography #CarmenSandiego #gaming#1980s #maps #travel https://t.co/wT8oYaIhel","@Cow_Palace","pop culture",
"Netflix is betting on ‘90s kids nostalgia for learning with upcoming lineup https://t.co/2ZuFW2X3Qi https://t.co/6vH0LhU2qD","@RetroGamer870","edutainment",
"ethan winters, carmen sandiego, and luigi go on a spooky adventure https://t.co/JBVXjOpi7i","@ashtonf2m","pop culture",
"@alerivera35 this tweet represents my struggle of wanting to be Carmen San Diego for Halloween, but not doing it cause no one will get it","@Titoro_","style",
"Look, I'm not ashamed to admit that Carmen Sandiego and Cybersix are my fashion icons.","@seraph76","fashion",
"#news #fashion Carmen Sandiego Is Officially Happening With Gina Rodriguez at Netflix: Get excited, gumshoes! Just days… #movie #glamour https://t.co/Lbfa5ANWj4","@FlaShBloGWorld","pop culture",
"Gina Rodriguez donning red fedora and trench coat of Carmen Sandiego https://t.co/VdjBaiP6hF https://t.co/q2yfFIsIY7","@harsha85","pop culture",
"Carmen and Beetlejuice #cousins #halloween #carmensandiego #beetlejuice #hoboken #family https://t.co/BMERoq3WfY","@SamBaccala","style",
"The red hat makes one wonder: #WhatIf #PeggyCarter one day went rouge, turned to villainy, and changed her name to #CarmenSandiego? #Hmmm","@AdamMcBroon","style",
"I found Carmen Sandiego. Gate D11 at the Detroit airport. https://t.co/kDGeKn8eGo","@JohnPMcLaughlin","travel",
"Guess what?!? I found #carmensandiego! #Barcelona! #spain #travel #explore #adventurewomen… https://t.co/aGZm7zWpel","@crellim","travel",
